record_id,building_id,date,electricity_kwh,natural_gas_kwh,renewable_kwh,peak_demand_kw,occupancy_rate,operating_hours,is_statistical_outlier
1,B001,2020-01-01,4769.97,577.11,0.0,630.46,0.267,10.0,False
2,B001,2020-01-02,4430.13,522.37,0.0,573.54,0.292,10.0,False
3,B001,2020-01-03,4099.92,508.71,0.0,497.1,0.192,10.0,False
4,B001,2020-01-04,3487.28,347.08,0.0,1152.04,0.124,4.0,False
5,B001,2020-01-05,4447.51,554.59,0.0,1381.59,0.233,4.0,False
6,B001,2020-01-06,4579.2,498.19,0.0,598.62,0.34,10.0,False
7,B001,2020-01-07,4243.39,495.16,0.0,557.82,0.291,10.0,False
8,B001,2020-01-08,3561.3500000000004,555.32,0.0,601.79,0.242,10.0,False
9,B001,2020-01-09,4655.94,435.93,0.0,615.0,0.382,10.0,False
10,B001,2020-01-10,4597.71,523.88,0.0,576.71,0.292,10.0,False
11,B001,2020-01-11,4212.93,512.31,0.0,1375.7,0.086,4.0,False
12,B001,2020-01-12,4242.04,521.09,0.0,1459.99,0.088,4.0,False
13,B001,2020-01-13,4808.19,518.76,0.0,561.13,0.404,10.0,False
14,B001,2020-01-14,4075.44,412.88,0.0,548.47,0.294,10.0,False
15,B001,2020-01-15,4040.96,385.47,0.0,477.72,0.323,10.0,False
16,B001,2020-01-16,4490.29,515.74,0.0,568.65,0.29,10.0,False
17,B001,2020-01-17,4271.46,494.52,0.0,508.74,0.297,10.0,False
18,B001,2020-01-18,4221.1,468.16,0.0,1419.98,0.099,4.0,False
19,B001,2020-01-19,3978.55,438.85,0.0,1153.08,0.191,4.0,False
20,B001,2020-01-20,5427.43,670.06,0.0,719.29,0.302,10.0,False
21,B001,2020-01-21,3585.42,333.6,0.0,448.31,0.3005,10.0,False
22,B001,2020-01-22,4273.88,480.49,0.0,519.82,0.32,10.0,False
23,B001,2020-01-23,4842.91,509.42,0.0,673.22,0.294,10.0,False
24,B001,2020-01-24,4064.44,433.63,0.0,497.09,0.319,10.0,False
25,B001,2020-01-25,3322.62,355.48,0.0,999.21,0.103,4.0,False
26,B001,2020-01-26,3969.65,501.17,0.0,1248.32,0.093,4.0,False
