maintenance_id,building_id,maintenance_date,equipment_type,issue_type,downtime_hours,maintenance_cost
1,B001,2023-07-10,Electrical,Emergency,6.9,8530.28
2,B001,2024-06-04,Electrical,Emergency,3.3,5916.35
3,B002,2022-10-01,HVAC,Emergency,16.9,7480.87
4,B002,2023-12-14,HVAC,Emergency,16.2,5322.93
5,B003,2024-12-12,Electrical,Emergency,15.7,3201.99
6,B003,2023-10-22,Boiler,Emergency,14.8,7317.43
7,B004,2021-09-15,Boiler,Emergency,3.7,2043.73
8,B005,2021-02-28,Boiler,Emergency,16.4,6773.28
9,B005,2023-12-03,Boiler,Emergency,14.8,6125.92
10,B006,2020-08-11,Electrical,Emergency,7.7,7893.73
11,B006,2021-10-29,HVAC,Emergency,13.8,8596.84
12,B006,2023-04-30,Boiler,Emergency,8.2,1244.19
13,B006,2021-06-23,HVAC,Emergency,15.7,2852.08
14,B007,2021-01-18,Boiler,Emergency,12.3,1703.04
15,B007,2021-06-12,Electrical,Emergency,5.1,4433.4
16,B008,2020-06-15,Lighting,Emergency,12.0,8980.87
17,B008,2024-04-08,Electrical,Emergency,11.1,5317.42
18,B009,2022-05-01,Boiler,Emergency,11.2,7991.39
19,B009,2022-04-03,Boiler,Emergency,11.4,8734.16
20,B010,2022-03-24,Boiler,Emergency,11.1,6545.92
21,B010,2020-04-14,Boiler,Emergency,11.8,6425.78
22,B010,2022-09-25,HVAC,Emergency,7.9,6657.35
23,B011,2020-11-12,HVAC,Emergency,5.2,4547.0
24,B011,2024-08-12,Boiler,Emergency,9.3,6814.74
25,B012,2024-02-23,Lighting,Emergency,13.8,1919.7
26,B012,2020-04-05,Lighting,Emergency,13.5,8758.69
27,B013,2020-08-02,HVAC,Emergency,9.6,5582.34
28,B013,2024-02-22,Lighting,Emergency,12.1,5438.59
29,B013,2022-06-11,Electrical,Emergency,5.9,1871.37
30,B014,2024-11-17,Lighting,Emergency,7.2,801.59
31,B014,2020-04-24,Lighting,Emergency,5.2,2844.26
32,B015,2021-11-04,Lighting,Emergency,10.7,3224.96
33,B015,2024-05-28,HVAC,Emergency,7.1,3097.2
34,B016,2020-02-09,Boiler,Emergency,2.8,1919.43
35,B016,2022-07-21,Boiler,Emergency,2.3,8340.53
36,B016,2021-06-29,Lighting,Emergency,3.8,1517.23
37,B017,2022-08-11,HVAC,Emergency,3.3,6121.7
38,B018,2021-04-24,HVAC,Emergency,12.2,5139.11
39,B019,2020-04-30,Lighting,Emergency,9.6,8597.05
40,B019,2023-06-17,Lighting,Emergency,8.2,2493.9
41,B019,2022-01-09,Boiler,Emergency,17.9,840.71
42,B020,2020-12-27,Boiler,Emergency,4.6,3082.72
43,B020,2021-06-30,Boiler,Emergency,10.4,5717.44
44,B020,2024-09-29,Boiler,Emergency,15.0,8397.17
45,B021,2021-09-22,HVAC,Emergency,15.3,8039.29
46,B022,2024-10-20,Electrical,Emergency,7.1,2014.89
47,B023,2023-05-24,HVAC,Emergency,16.2,7132.57
48,B023,2020-07-31,HVAC,Emergency,4.9,5408.61
49,B024,2020-02-05,Electrical,Emergency,6.2,990.88
50,B024,2021-03-12,Boiler,Emergency,9.9,6077.26
51,B024,2023-12-27,HVAC,Emergency,13.7,4498.13
52,B025,2022-06-02,Boiler,Emergency,17.3,3709.47
53,B025,2023-12-30,Boiler,Emergency,7.2,5550.53
54,B026,2024-07-02,Boiler,Emergency,4.0,5276.62
55,B026,2023-08-09,Electrical,Emergency,8.6,1045.02
56,B026,2024-01-12,Electrical,Emergency,15.6,2434.79
57,B027,2021-01-12,Electrical,Emergency,4.8,4676.01
58,B027,2024-03-23,Boiler,Emergency,15.6,3925.21
59,B028,2020-05-31,Boiler,Emergency,13.9,4287.24
60,B029,2023-05-15,Boiler,Emergency,6.9,2213.74
61,B030,2024-09-21,Boiler,Emergency,2.2,5068.1
62,B030,2023-08-24,HVAC,Emergency,10.1,6589.46
63,B031,2023-05-01,Lighting,Emergency,10.1,6949.27
64,B031,2020-07-18,HVAC,Emergency,10.7,2953.14
65,B032,2023-04-10,Lighting,Emergency,9.8,1294.18
66,B033,2020-01-27,Boiler,Emergency,11.9,7065.35
67,B034,2023-04-25,Boiler,Emergency,16.0,7999.47
68,B034,2020-12-14,Electrical,Emergency,12.9,2081.85
69,B035,2020-05-07,Boiler,Emergency,5.9,4851.55
70,B035,2024-06-24,Electrical,Emergency,3.7,8857.49
71,B035,2022-01-28,Boiler,Emergency,16.6,4975.68
72,B036,2024-01-10,Electrical,Emergency,7.2,6238.28
73,B036,2022-08-26,Lighting,Emergency,16.2,6512.92
74,B036,2022-01-30,Lighting,Emergency,2.1,4420.32
75,B037,2023-07-11,HVAC,Emergency,2.8,5061.63
76,B037,2022-10-31,Lighting,Emergency,13.5,6054.71
77,B038,2020-01-03,Boiler,Emergency,13.2,5221.12
78,B038,2022-06-28,HVAC,Emergency,3.4,812.94
79,B039,2021-12-15,Electrical,Emergency,16.5,8607.03
80,B039,2021-11-20,HVAC,Emergency,9.0,4307.51
81,B039,2022-07-29,HVAC,Emergency,9.0,5384.5
82,B040,2020-05-25,Boiler,Emergency,12.7,3337.96
83,B040,2022-11-12,Boiler,Emergency,13.0,5920.39
84,B041,2020-11-17,Electrical,Emergency,17.1,8723.36
85,B042,2021-05-29,Electrical,Emergency,8.7,2132.72
86,B042,2020-12-09,Lighting,Emergency,2.8,6448.0
87,B042,2022-01-26,Electrical,Emergency,12.5,6304.5
