date,city,temperature_f,humidity_pct,rainfall_in,wind_speed_mph
2020-01-01,New York,31.9,59.9,0.0,10.2
2020-01-02,New York,32.6,62.5,0.0,4.5
2020-01-03,New York,31.8,62.9,0.0,14.1
2020-01-04,New York,33.5,63.7,0.0,5.7
2020-01-05,New York,39.4,68.2,0.0,8.0
2020-01-06,New York,21.1,66.4,0.0,4.5
2020-01-07,New York,31.5,62.4,0.0,4.1
2020-01-08,New York,33.2,55.5,0.0,5.4
2020-01-09,New York,33.7,62.5,0.0,5.1
2020-01-10,New York,30.6,61.8,0.0,6.8
2020-01-11,New York,24.3,63.5,0.0,5.1
2020-01-12,New York,33.7,79.7,0.0,10.1
2020-01-13,New York,39.9,57.8,0.0,5.7
2020-01-14,New York,25.2,65.4,0.0,5.3
2020-01-15,New York,35.9,70.5,0.0,6.8
2020-01-16,New York,30.5,62.8,0.0,11.0
2020-01-17,New York,31.7,80.7,0.0,8.6
2020-01-18,New York,27.3,59.0,0.0,7.7
2020-01-19,New York,30.5,64.6,0.0,3.7
2020-01-20,New York,37.9,55.6,0.0,4.6
2020-01-21,New York,34.6,59.2,0.0,4.2
2020-01-22,New York,39.8,64.0,0.0,11.9
2020-01-23,New York,37.4,68.8,0.0,9.6
2020-01-24,New York,34.1,64.6,0.0,5.4
2020-01-25,New York,40.0,72.1,0.0,6.3
2020-01-26,New York,34.2,61.2,0.0,5.5
2020-01-27,New York,36.0,59.3,0.0,5.3
2020-01-28,New York,31.0,83.6,0.0,9.4
2020-01-29,New York,32.7,65.2,0.0,7.1
2020-01-30,New York,29.4,56.2,0.0,14.2
2020-01-31,New York,37.0,56.4,0.0,11.8
2020-02-01,New York,27.4,54.5,0.0,11.9
2020-02-02,New York,36.3,69.5,0.0,10.0
2020-02-03,New York,32.1,59.1,0.0,6.7
2020-02-04,New York,38.3,63.0,0.0,9.8
2020-02-05,New York,36.5,61.5,0.0,7.0
2020-02-06,New York,41.5,67.9,0.0,12.9
2020-02-07,New York,36.7,55.2,0.0,9.2
2020-02-08,New York,26.5,53.4,0.0,8.8
2020-02-09,New York,33.5,63.8,0.0,8.4
2020-02-10,New York,28.7,66.8,0.39,13.2
2020-02-11,New York,31.8,64.7,0.0,3.7
2020-02-12,New York,41.1,55.5,0.0,13.5
2020-02-13,New York,37.3,67.4,0.0,7.4
2020-02-14,New York,31.5,56.0,0.0,3.8
2020-02-15,New York,30.3,57.8,0.0,5.7
2020-02-16,New York,35.2,54.4,0.0,3.0
2020-02-17,New York,29.8,72.4,0.0,10.0
2020-02-18,New York,32.5,67.1,0.0,4.9
2020-02-19,New York,37.2,66.8,0.0,8.5
2020-02-20,New York,41.2,72.0,0.0,11.4
2020-02-21,New York,39.0,84.5,0.0,6.0
2020-02-22,New York,26.2,48.3,0.0,7.2
2020-02-23,New York,38.1,56.1,0.0,4.1
2020-02-24,New York,37.3,57.1,0.58,6.8
2020-02-25,New York,39.1,55.2,0.0,15.7
2020-02-26,New York,44.8,53.4,0.95,10.3
2020-02-27,New York,28.5,59.6,0.0,7.2
2020-02-28,New York,35.5,52.3,0.0,6.2
2020-02-29,New York,41.1,64.7,0.0,7.9
2020-03-01,New York,31.6,62.4,0.0,8.4
2020-03-02,New York,45.7,65.8,0.0,6.7
2020-03-03,New York,41.0,66.1,0.0,9.6
2020-03-04,New York,43.5,66.8,0.0,5.1
2020-03-05,New York,37.4,59.0,0.0,5.1
2020-03-06,New York,44.0,79.0,0.0,9.1
2020-03-07,New York,45.4,63.9,0.0,4.5
2020-03-08,New York,42.0,47.1,0.0,10.2
2020-03-09,New York,42.4,54.0,0.0,8.0
2020-03-10,New York,42.9,48.1,0.0,2.5
2020-03-11,New York,38.1,62.1,0.0,8.3
2020-03-12,New York,41.7,61.0,0.3,2.9
2020-03-13,New York,42.1,58.3,0.0,10.1
2020-03-14,New York,44.8,78.1,0.0,7.3
2020-03-15,New York,48.0,66.4,0.0,13.6
2020-03-16,New York,39.1,67.8,0.0,11.2
2020-03-17,New York,43.7,54.6,0.0,4.8
2020-03-18,New York,51.3,54.0,0.0,1.9
2020-03-19,New York,41.7,62.3,0.0,5.7
2020-03-20,New York,41.7,63.4,0.0,4.3
2020-03-21,New York,46.7,47.1,0.0,13.5
2020-03-22,New York,50.0,60.6,0.0,8.0
2020-03-23,New York,46.7,62.1,0.0,10.8
2020-03-24,New York,53.0,60.3,0.0,7.1
2020-03-25,New York,51.3,55.5,0.0,7.5
2020-03-26,New York,51.7,57.7,0.0,7.9
2020-03-27,New York,50.8,60.6,0.0,11.3
2020-03-28,New York,59.2,62.7,0.0,8.9
2020-03-29,New York,48.2,66.8,0.0,4.8
2020-03-30,New York,40.5,70.6,0.0,12.9
2020-03-31,New York,57.2,59.6,0.0,7.1
