date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,week_of_year
2020-01-01,2020,1,1,January,1,2,Wednesday,False,1
2020-01-02,2020,1,1,January,2,3,Thursday,False,1
2020-01-03,2020,1,1,January,3,4,Friday,False,1
2020-01-04,2020,1,1,January,4,5,Saturday,True,1
2020-01-05,2020,1,1,January,5,6,Sunday,True,1
2020-01-06,2020,1,1,January,6,0,Monday,False,2
2020-01-07,2020,1,1,January,7,1,Tuesday,False,2
2020-01-08,2020,1,1,January,8,2,Wednesday,False,2
2020-01-09,2020,1,1,January,9,3,Thursday,False,2
2020-01-10,2020,1,1,January,10,4,Friday,False,2
2020-01-11,2020,1,1,January,11,5,Saturday,True,2
2020-01-12,2020,1,1,January,12,6,Sunday,True,2
2020-01-13,2020,1,1,January,13,0,Monday,False,3
2020-01-14,2020,1,1,January,14,1,Tuesday,False,3
2020-01-15,2020,1,1,January,15,2,Wednesday,False,3
2020-01-16,2020,1,1,January,16,3,Thursday,False,3
2020-01-17,2020,1,1,January,17,4,Friday,False,3
2020-01-18,2020,1,1,January,18,5,Saturday,True,3
2020-01-19,2020,1,1,January,19,6,Sunday,True,3
2020-01-20,2020,1,1,January,20,0,Monday,False,4
2020-01-21,2020,1,1,January,21,1,Tuesday,False,4
2020-01-22,2020,1,1,January,22,2,Wednesday,False,4
2020-01-23,2020,1,1,January,23,3,Thursday,False,4
2020-01-24,2020,1,1,January,24,4,Friday,False,4
2020-01-25,2020,1,1,January,25,5,Saturday,True,4
2020-01-26,2020,1,1,January,26,6,Sunday,True,4
2020-01-27,2020,1,1,January,27,0,Monday,False,5
2020-01-28,2020,1,1,January,28,1,Tuesday,False,5
2020-01-29,2020,1,1,January,29,2,Wednesday,False,5
2020-01-30,2020,1,1,January,30,3,Thursday,False,5
2020-01-31,2020,1,1,January,31,4,Friday,False,5
2020-02-01,2020,1,2,February,1,5,Saturday,True,5
2020-02-02,2020,1,2,February,2,6,Sunday,True,5
2020-02-03,2020,1,2,February,3,0,Monday,False,6
2020-02-04,2020,1,2,February,4,1,Tuesday,False,6
2020-02-05,2020,1,2,February,5,2,Wednesday,False,6
2020-02-06,2020,1,2,February,6,3,Thursday,False,6
2020-02-07,2020,1,2,February,7,4,Friday,False,6
2020-02-08,2020,1,2,February,8,5,Saturday,True,6
2020-02-09,2020,1,2,February,9,6,Sunday,True,6
2020-02-10,2020,1,2,February,10,0,Monday,False,7
2020-02-11,2020,1,2,February,11,1,Tuesday,False,7
2020-02-12,2020,1,2,February,12,2,Wednesday,False,7
2020-02-13,2020,1,2,February,13,3,Thursday,False,7
2020-02-14,2020,1,2,February,14,4,Friday,False,7
2020-02-15,2020,1,2,February,15,5,Saturday,True,7
2020-02-16,2020,1,2,February,16,6,Sunday,True,7
2020-02-17,2020,1,2,February,17,0,Monday,False,8
2020-02-18,2020,1,2,February,18,1,Tuesday,False,8
2020-02-19,2020,1,2,February,19,2,Wednesday,False,8
2020-02-20,2020,1,2,February,20,3,Thursday,False,8
2020-02-21,2020,1,2,February,21,4,Friday,False,8
2020-02-22,2020,1,2,February,22,5,Saturday,True,8
2020-02-23,2020,1,2,February,23,6,Sunday,True,8
2020-02-24,2020,1,2,February,24,0,Monday,False,9
2020-02-25,2020,1,2,February,25,1,Tuesday,False,9
2020-02-26,2020,1,2,February,26,2,Wednesday,False,9
2020-02-27,2020,1,2,February,27,3,Thursday,False,9
2020-02-28,2020,1,2,February,28,4,Friday,False,9
2020-02-29,2020,1,2,February,29,5,Saturday,True,9
2020-03-01,2020,1,3,March,1,6,Sunday,True,9
2020-03-02,2020,1,3,March,2,0,Monday,False,10
2020-03-03,2020,1,3,March,3,1,Tuesday,False,10
2020-03-04,2020,1,3,March,4,2,Wednesday,False,10
2020-03-05,2020,1,3,March,5,3,Thursday,False,10
2020-03-06,2020,1,3,March,6,4,Friday,False,10
2020-03-07,2020,1,3,March,7,5,Saturday,True,10
2020-03-08,2020,1,3,March,8,6,Sunday,True,10
2020-03-09,2020,1,3,March,9,0,Monday,False,11
2020-03-10,2020,1,3,March,10,1,Tuesday,False,11
