building_id,date,predicted_electricity_kwh
B001,2025-01-01,4401.395471336583
B001,2025-01-02,4386.669143958052
B001,2025-01-03,4478.319657924089
B001,2025-01-04,3842.2981577144615
B001,2025-01-05,3974.786535688686
B001,2025-01-06,4646.719333113118
B001,2025-01-07,4637.494615698464
B001,2025-01-08,4682.648101120049
B001,2025-01-09,4526.4313964497505
B001,2025-01-10,4696.297226057349
B001,2025-01-11,3988.3835291041337
B001,2025-01-12,3989.2705191719656
B001,2025-01-13,4612.598531244188
B001,2025-01-14,4620.933749068899
B001,2025-01-15,4416.360532192082
B001,2025-01-16,4569.9310072646085
B001,2025-01-17,4649.86074307719
B001,2025-01-18,3988.383192751282
B001,2025-01-19,3855.048817647511
B001,2025-01-20,4548.4155584016935
B001,2025-01-21,4537.871689395069
B001,2025-01-22,4676.3852568680095
B001,2025-01-23,4544.852977937775
B001,2025-01-24,4644.701261691837
B001,2025-01-25,4073.9955436742575
B001,2025-01-26,3885.634751484446
B001,2025-01-27,4584.390875871037
B001,2025-01-28,4403.690739686255
B001,2025-01-29,4212.311135677784
B001,2025-01-30,4407.266313875749
B001,2025-01-31,4656.236070723916
B001,2025-02-01,4025.893546248861
B001,2025-02-02,3907.0337594035523
B001,2025-02-03,4461.8733011639315
B001,2025-02-04,4532.012573091493
B001,2025-02-05,4663.947853036582
B001,2025-02-06,4674.383582648236
B001,2025-02-07,4422.547693706684
B001,2025-02-08,3949.932988334836
B001,2025-02-09,3903.4914053659504
B001,2025-02-10,4432.762104773574
B001,2025-02-11,4214.190823136715
B001,2025-02-12,4388.719877895853
B001,2025-02-13,4285.746693895655
B001,2025-02-14,4340.814284738476
B001,2025-02-15,3981.9137039652273
B001,2025-02-16,3893.8975168083
B001,2025-02-17,4055.8191143057506
B001,2025-02-18,4371.980548069325
B001,2025-02-19,4393.035887384209
B001,2025-02-20,4534.053456978165
B001,2025-02-21,4207.783688171924
B001,2025-02-22,3939.2754542907787
B001,2025-02-23,3595.3783701605785
B001,2025-02-24,4448.8213035124345
B001,2025-02-25,4336.130168208162
B001,2025-02-26,4347.17964881245
B001,2025-02-27,4301.432216625239
B001,2025-02-28,4212.858380592172
B001,2025-03-01,3539.8346796115893
B001,2025-03-02,3872.542612327075
