date,building_id,electricity_price,gas_price,demand_charge
2020-01-01,B001,0.1093,0.0458,9.13
2020-02-01,B001,0.1073,0.043,11.18
2020-03-01,B001,0.113,0.0454,10.76
2020-04-01,B001,0.1111,0.0446,12.15
2020-05-01,B001,0.1124,0.0435,15.99
2020-06-01,B001,0.1139,0.0432,11.05
2020-07-01,B001,0.1137,0.0474,11.59
2020-08-01,B001,0.1115,0.0449,10.55
2020-09-01,B001,0.1108,0.0478,12.57
2020-10-01,B001,0.1107,0.0467,17.41
2020-11-01,B001,0.1139,0.0471,17.29
2020-12-01,B001,0.1112,0.0478,12.99
2021-01-01,B001,0.1148,0.047,10.74
2021-02-01,B001,0.1153,0.0466,15.34
2021-03-01,B001,0.1141,0.047,14.62
2021-04-01,B001,0.1164,0.0453,11.23
2021-05-01,B001,0.1149,0.0484,16.76
2021-06-01,B001,0.1107,0.0453,14.1
2021-07-01,B001,0.1118,0.0454,9.79
2021-08-01,B001,0.1173,0.0488,16.21
2021-09-01,B001,0.1166,0.0465,10.18
2021-10-01,B001,0.1173,0.0486,12.81
2021-11-01,B001,0.1152,0.0452,15.49
2021-12-01,B001,0.1174,0.0478,13.01
2022-01-01,B001,0.1151,0.046,13.46
2022-02-01,B001,0.1179,0.0489,12.84
2022-03-01,B001,0.1194,0.0473,17.24
2022-04-01,B001,0.116,0.0472,13.64
2022-05-01,B001,0.1182,0.0461,11.83
2022-06-01,B001,0.1154,0.0463,15.85
2022-07-01,B001,0.1171,0.049,17.87
2022-08-01,B001,0.1174,0.0501,17.15
2022-09-01,B001,0.1154,0.048,12.1
2022-10-01,B001,0.1179,0.0473,15.26
2022-11-01,B001,0.1204,0.0471,12.04
2022-12-01,B001,0.1186,0.0501,13.88
2023-01-01,B001,0.1181,0.0466,12.46
2023-02-01,B001,0.1158,0.05,17.74
2023-03-01,B001,0.1185,0.0497,14.6
2023-04-01,B001,0.116,0.0486,16.21
2023-05-01,B001,0.1174,0.0497,11.96
2023-06-01,B001,0.1192,0.0496,9.88
2023-07-01,B001,0.1209,0.0479,9.82
2023-08-01,B001,0.1207,0.0473,13.44
2023-09-01,B001,0.1175,0.0495,17.12
2023-10-01,B001,0.1176,0.0509,9.48
2023-11-01,B001,0.1222,0.051,14.58
2023-12-01,B001,0.1207,0.0497,16.55
2024-01-01,B001,0.1194,0.0479,9.61
2024-02-01,B001,0.1231,0.0496,17.22
2024-03-01,B001,0.1243,0.0513,15.77
2024-04-01,B001,0.1248,0.051,10.53
2024-05-01,B001,0.1187,0.048,13.43
2024-06-01,B001,0.1214,0.0509,14.12
2024-07-01,B001,0.1218,0.048,14.76
2024-08-01,B001,0.1252,0.0504,9.16
2024-09-01,B001,0.1217,0.0521,16.89
2024-10-01,B001,0.1204,0.0523,13.78
2024-11-01,B001,0.1223,0.0487,11.39
2024-12-01,B001,0.1215,0.0497,14.46
2020-01-01,B002,0.1106,0.045,10.39
2020-02-01,B002,0.1106,0.0454,11.37
2020-03-01,B002,0.1078,0.0431,15.03
2020-04-01,B002,0.1131,0.0434,17.83
2020-05-01,B002,0.1103,0.0475,15.44
2020-06-01,B002,0.1105,0.0455,9.87
2020-07-01,B002,0.1103,0.0435,11.81
2020-08-01,B002,0.1083,0.0456,12.63
2020-09-01,B002,0.11,0.0444,10.97
2020-10-01,B002,0.1112,0.0445,9.91
2020-11-01,B002,0.1121,0.0462,10.82
2020-12-01,B002,0.1114,0.0466,9.64
2021-01-01,B002,0.1135,0.0465,14.65
2021-02-01,B002,0.1097,0.0468,15.87
2021-03-01,B002,0.1128,0.0483,16.67
2021-04-01,B002,0.1148,0.0453,12.68
2021-05-01,B002,0.1164,0.0458,16.99
2021-06-01,B002,0.1153,0.048,11.24
2021-07-01,B002,0.116,0.045,17.3
2021-08-01,B002,0.1164,0.047,11.8
2021-09-01,B002,0.1134,0.0476,13.11
2021-10-01,B002,0.1141,0.049,12.37
2021-11-01,B002,0.1146,0.0464,11.74
2021-12-01,B002,0.1165,0.0457,14.07
2022-01-01,B002,0.1132,0.045,9.09
2022-02-01,B002,0.113,0.0452,10.92
2022-03-01,B002,0.1143,0.0458,10.08
2022-04-01,B002,0.117,0.0461,16.1
2022-05-01,B002,0.1196,0.0495,14.13
2022-06-01,B002,0.1141,0.0464,15.44
2022-07-01,B002,0.1193,0.0491,12.84
2022-08-01,B002,0.1201,0.0464,15.16
2022-09-01,B002,0.1166,0.0493,10.31
2022-10-01,B002,0.1162,0.0481,17.66
2022-11-01,B002,0.1196,0.0474,9.68
2022-12-01,B002,0.1202,0.046,12.16
2023-01-01,B002,0.1158,0.0464,10.51
2023-02-01,B002,0.1205,0.0484,14.96
2023-03-01,B002,0.1188,0.0506,13.26
2023-04-01,B002,0.1181,0.0507,12.62
2023-05-01,B002,0.1226,0.0495,16.53
2023-06-01,B002,0.1208,0.0498,15.42
2023-07-01,B002,0.1199,0.0477,12.49
2023-08-01,B002,0.1177,0.0493,13.23
2023-09-01,B002,0.1218,0.0513,10.39
2023-10-01,B002,0.1196,0.0507,10.06
2023-11-01,B002,0.1207,0.0472,9.72
2023-12-01,B002,0.1178,0.0489,11.57
2024-01-01,B002,0.118,0.0507,14.67
2024-02-01,B002,0.1221,0.0478,11.49
2024-03-01,B002,0.122,0.048,16.79
2024-04-01,B002,0.1185,0.0508,9.73
2024-05-01,B002,0.1189,0.0516,13.29
2024-06-01,B002,0.121,0.0517,17.46
2024-07-01,B002,0.1189,0.048,17.13
2024-08-01,B002,0.1253,0.0512,16.52
2024-09-01,B002,0.1202,0.0482,13.39
2024-10-01,B002,0.1261,0.0528,13.66
2024-11-01,B002,0.1257,0.049,16.69
2024-12-01,B002,0.1248,0.0511,9.19
2020-01-01,B003,0.1298,0.0455,15.34
2020-02-01,B003,0.1291,0.0435,10.24
2020-03-01,B003,0.1334,0.0462,14.28
2020-04-01,B003,0.13,0.0457,15.75
2020-05-01,B003,0.1343,0.0469,17.11
2020-06-01,B003,0.1284,0.0453,11.29
2020-07-01,B003,0.1292,0.0473,10.02
2020-08-01,B003,0.1325,0.0438,11.75
